銀行,Code
三信商業銀行,5830
上海商業銀行,5876
中國信託商銀,5841
花蓮中小企銀,5841
京城商業銀行,2809
台南中小企銀,2809
兆豐國際商銀,5843
交通銀行,5843
中國國際商銀,5843
凱基商業銀行,2837
萬泰商業銀行,2837
中華開發工銀,2837
匯豐(台灣)銀,5872
中華商業銀行,5872
台中商業銀行,2812
臺中商業銀行,2812
台北富邦銀行,5836
富邦商業銀行,5836
台北銀行,5836
台新國際商銀,5848
台灣新光銀行,2893
臺灣新光銀行,2893
誠泰商業銀行,2893
聯信商業銀行,2893
合作金庫銀行,5854
合庫商業銀行,5854
中國農民銀行,5854
國泰世華商銀,5835
第七商業銀行,5835
元大商業銀行,5852
大眾商業銀行,5852
復華商業銀行,5852
安泰商業銀行,2849
彰化商業銀行,2801
日盛國際商銀,5850
日盛商業銀行,5850
星展(台灣)銀,5875
澳盛(台灣)銀,111
寶華商業銀行,5875
泛亞商業銀行,5875
板信商業銀行,5862
永豐商業銀行,5849
建華商業銀行,5849
台北國際商銀,5849
新竹國際商銀,2807
渣打國際商銀,2807
玉山商業銀行,5847
高雄中小企銀,5847
瑞興商業銀行,5863
大台北商銀,5863
稻江商業銀行,5863
第一商業銀行,5844
聯邦商業銀行,2838
中興商業銀行,2838
臺灣中小企銀,2834
臺灣土地銀行,5857
王道商業銀行,2897
臺灣工業銀行,2897
臺灣銀行,5858
中央信託局,5858
花旗(台灣)銀,5870
花旗台灣銀行,5870
華僑商業銀行,5870
華南商業銀行,5838
華泰商業銀行,5827
遠東國際商銀,2845
慶豐商業銀行,999
陽信商業銀行,2895
高新商業銀行,2895
高雄銀行,2836
樂天國際商銀,6030
將來商業銀行,6039
連線商業銀行,6031